  └─ debt=3.15 res=0.90 ent=0.10 emg=0.81 B:8 H:3 F:31 A:64 V:19 T:0
  └─ debt=3.09 res=0.79 ent=0.29 emg=0.55 B:8 H:3 F:30 A:42 V:17 T:0
  └─ debt=3.03 res=0.79 ent=0.33 emg=0.53 B:8 H:3 F:27 A:41 V:14 T:0
  └─ debt=2.97 res=0.79 ent=0.33 emg=0.53 B:8 H:4 F:27 A:39 V:16 T:0
  └─ debt=2.91 res=0.79 ent=0.33 emg=0.53 B:8 H:3 F:19 A:38 V:16 T:0
  └─ debt=2.85 res=0.79 ent=0.33 emg=0.53 B:8 H:4 F:17 A:32 V:17 T:0
  └─ debt=2.79 res=0.79 ent=0.33 emg=0.53 B:8 H:3 F:17 A:42 V:19 T:0
  └─ debt=3.31 res=0.80 ent=0.33 emg=0.54 B:10 H:5 F:21 A:41 V:17 T:0
  └─ debt=3.24 res=0.90 ent=0.10 emg=0.81 B:8 H:4 F:24 A:55 V:16 T:0
  └─ debt=3.18 res=0.78 ent=0.29 emg=0.55 B:8 H:4 F:22 A:46 V:19 T:0
  └─ debt=3.11 res=0.78 ent=0.33 emg=0.53 B:8 H:4 F:24 A:46 V:19 T:0
  └─ debt=3.05 res=0.79 ent=0.33 emg=0.53 B:8 H:3 F:21 A:50 V:17 T:0
  └─ debt=2.99 res=0.79 ent=0.33 emg=0.53 B:8 H:4 F:19 A:34 V:14 T:0
  └─ debt=3.22 res=0.79 ent=0.33 emg=0.53 B:8 H:4 F:19 A:38 V:16 T:0
  └─ debt=3.15 res=0.78 ent=0.33 emg=0.53 B:8 H:3 F:20 A:38 V:16 T:0
  └─ debt=3.35 res=0.79 ent=0.33 emg=0.53 B:8 H:4 F:19 A:30 V:17 T:0
  └─ debt=3.29 res=0.78 ent=0.33 emg=0.52 B:8 H:4 F:21 A:40 V:19 T:0
  └─ debt=3.22 res=0.78 ent=0.33 emg=0.52 B:8 H:4 F:19 A:31 V:17 T:0
  └─ debt=3.16 res=0.90 ent=0.10 emg=0.81 B:8 H:4 F:22 A:37 V:16 T:0
  └─ debt=3.09 res=0.79 ent=0.29 emg=0.55 B:8 H:4 F:22 A:53 V:19 T:0
  └─ debt=3.03 res=0.91 ent=0.10 emg=0.82 B:8 H:5 F:18 A:48 V:19 T:0
  └─ debt=2.97 res=0.79 ent=0.29 emg=0.56 B:8 H:4 F:13 A:46 V:17 T:0
  └─ debt=2.91 res=0.79 ent=0.33 emg=0.53 B:8 H:3 F:12 A:48 V:14 T:0
  └─ debt=2.85 res=0.79 ent=0.33 emg=0.53 B:8 H:4 F:11 A:50 V:16 T:0
  └─ debt=2.80 res=0.79 ent=0.33 emg=0.53 B:8 H:3 F:11 A:39 V:16 T:0
  └─ debt=2.74 res=0.80 ent=0.33 emg=0.54 B:8 H:4 F:11 A:42 V:17 T:0
  └─ debt=2.69 res=0.80 ent=0.33 emg=0.54 B:8 H:4 F:15 A:42 V:19 T:0
  └─ debt=2.63 res=0.80 ent=0.33 emg=0.54 B:8 H:4 F:13 A:36 V:17 T:0
  └─ debt=2.58 res=0.92 ent=0.10 emg=0.83 B:23 H:4 F:14 A:49 V:16 T:0
  └─ debt=2.81 res=0.80 ent=0.29 emg=0.57 B:8 H:4 F:16 A:47 V:19 T:0
  └─ debt=2.76 res=0.92 ent=0.10 emg=0.82 B:8 H:5 F:18 A:48 V:19 T:0
  └─ debt=2.70 res=0.80 ent=0.29 emg=0.57 B:8 H:4 F:15 A:47 V:17 T:0
